"0","objectId","propertyName","Value","sourceId","timeStamp"
"14897388","Werth, Andreas","Born","30 March 1978","IMDB","null"
"14897389","Werth, Andreas","countryOfBirth","Bad Homburg vor der Höhe, Hesse, Germany","IMDB","null"
"14897390","Werth, Eva-Maria","Born","1937","IMDB","null"
"14897391","Werth, Isabell","Born","21 July 1969","IMDB","null"
"14897392","Werth, Isabell","countryOfBirth","Sevelen, Issum, North Rhine-Westphalia, Germany","IMDB","null"
"14897393","Jayson Richard Gowan","Born","20 May 1979","IMDB","null"
"14897394","Jayson Richard Gowan","countryOfBirth","Springfield, Illinois, USA","IMDB","null"
"14897395","Werth, Kurth","Born","1913","IMDB","null"
"14897396","Werth, Susanne (I)","Born","10 September 1971","IMDB","null"
"14897397","Werth, Susanne (I)","countryOfBirth","Saarlouis, Saarland, Germany","IMDB","null"
"14897398","Wertheim, Darren","Born","28 December 1984","IMDB","null"
"14897399","Wertheim, Darren","countryOfBirth","Cape Town, South Africa","IMDB","null"
"14897400","Lewis Jon Wertheim","Born","11 November 1970","IMDB","null"
"14897401","Lewis Jon Wertheim","countryOfBirth","Bloomington, Indiana, USA","IMDB","null"
"14897402","Wertheim, Micha","Born","1972","IMDB","null"
"14897403","Werthein, Rodrigo Sarti","Born","16 July 1974","IMDB","null"
"14897404","Werthein, Rodrigo Sarti","countryOfBirth","Santos, São Paulo, Brazil","IMDB","null"
"14897405","Werther, Bent","Born","8 November 1932","IMDB","null"
"14897406","Werther, Bent","countryOfBirth","Denmark","IMDB","null"
"14897407","Werther, Bent","Died","24 June 1973","IMDB","null"
"14897408","Erick Werther","Born","5 March 1989","IMDB","null"
"14897409","Erick Werther","countryOfBirth","San José, Costa Rica","IMDB","null"
"14897410","Erick Werther","height","175 cm","IMDB","null"
"14897411","Werthmann, Colleen","Born","1970","IMDB","null"
"14897412","Werthmann, Colleen","countryOfBirth","USA","IMDB","null"
"14897413","Werthmann, Colleen","spouse_s","Gardiner Comfort","IMDB","null"
"14897414","Werthmann, Klaus","Born","1944","IMDB","null"
"14897415","Werthén, Hans","Born","1919","IMDB","null"
"14897416","Werthén, Hans","countryOfBirth","Ludvika, Sweden","IMDB","null"
"14897417","Werthén, Hans","Died","3 January 2000","IMDB","null"
"14897418","Edward Wertimer","Born","27 October 1923","IMDB","null"
"14897419","Edward Wertimer","countryOfBirth","Buffalo, New York, USA","IMDB","null"
"14897420","Edward Wertimer","Died","2 January 2013","IMDB","null"
"14897421","Edward Wertimer","spouse_s","Skyne Uku","IMDB","null"
"14897422","Wertimer, Stephen","Born","1955","IMDB","null"
"14897423","Wertman, Christopher","Born","6 February 1977","IMDB","null"
"14897424","Wertman, Christopher","countryOfBirth","Los Angeles, California, USA","IMDB","null"
"14897425","Wertman, Christopher","height","6' 2""","IMDB","null"
"14897426","Arcangela Felice Assunta Job Wertmüller von Elgg Espanol von Brauchich","Born","14 August 1926","IMDB","null"
"14897427","Arcangela Felice Assunta Job Wertmüller von Elgg Espanol von Brauchich","countryOfBirth","Rome, Lazio, Italy","IMDB","null"
"14897428","Arcangela Felice Assunta Job Wertmüller von Elgg Espanol von Brauchich","spouse_s","Enrico Job","IMDB","null"
"14897429","Wertmüller, Massimo","Born","13 August 1956","IMDB","null"
"14897430","Wertmüller, Massimo","countryOfBirth","Rome, Lazio, Italy","IMDB","null"
"14897431","Wertsch, Anneliese","Born","20 January 1922","IMDB","null"
"14897432","Wertsch, Anneliese","countryOfBirth","Würzburg, Bavaria, Germany","IMDB","null"
"14897433","Wertsch, Anneliese","Died","3 July 2008","IMDB","null"
"14897434","Wertsch, Anneliese","spouse_s","Götz Olaf Rausch;?","IMDB","null"
"14897435","Wertz, Alfred","Born","17 August 1893","IMDB","null"
"14897436","Wertz, Alfred","countryOfBirth","Utah, USA","IMDB","null"
"14897437","Wertz, Alfred","Died","28 January 1966","IMDB","null"
"14897438","Wertz, Clarence","Born","3 March 1891","IMDB","null"
"14897439","Wertz, Clarence","countryOfBirth","Bloomfield, New Jersey, USA","IMDB","null"
"14897440","Wertz, Clarence","Died","2 December 1935","IMDB","null"
"14897441","Wertz Jr., Harold Eugene","Born","3 August 1927","IMDB","null"
"14897442","Wertz Jr., Harold Eugene","countryOfBirth","Denison, Texas, USA","IMDB","null"
"14897443","Wertz Jr., Harold Eugene","Died","21 November 1999","IMDB","null"
"14897444","Wertz Jr., Harold Eugene","spouse_s","Kathleen McCracken","IMDB","null"
"14897445","Wertz, Matt","Born","17 February 1979","IMDB","null"
"14897446","Wertz, Matt","countryOfBirth","USA","IMDB","null"
"14897447","Victor Woodrow Wertz","Born","9 February 1925","IMDB","null"
"14897448","Victor Woodrow Wertz","countryOfBirth","York, Pennsylvania, USA","IMDB","null"
"14897449","Victor Woodrow Wertz","Died","7 July 1983","IMDB","null"
"14897450","Victor Woodrow Wertz","height","6'","IMDB","null"
"14897451","Werup, Jacques","Born","14 January 1945","IMDB","null"
"14897452","Werup, Jacques","countryOfBirth","Malmö, Sweden","IMDB","null"
"14897453","Jürgen Marvin","Born","16 November 1958","IMDB","null"
"14897454","Jürgen Marvin","countryOfBirth","Hamburg, Germany","IMDB","null"
"14897455","Jürgen Marvin","Died","7 January 2011","IMDB","null"
"14897456","Jürgen Marvin","height","175 cm","IMDB","null"
"14897457","Wery, Carl","Born","7 August 1894","IMDB","null"
"14897458","Wery, Carl","countryOfBirth","Trostberg, Germany","IMDB","null"
"14897459","Wery, Carl","Died","14 March 1975","IMDB","null"
"14897460","Werzlau, Ingeborg","Died","1998","IMDB","null"
"14897461","Werzlau, Joachim","Born","5 August 1913","IMDB","null"
"14897462","Werzlau, Joachim","countryOfBirth","Leipzig, Germany","IMDB","null"
"14897463","Werzlau, Joachim","Died","23 October 2001","IMDB","null"
"14897464","Werzner, Brent","height","6' 2""","IMDB","null"
"14897465","Walter Thomas Werzowa","Born","15 December 1960","IMDB","null"
"14897466","Walter Thomas Werzowa","countryOfBirth","Vienna, Austria","IMDB","null"
"14897467","Wes (I)","height","6' 1""","IMDB","null"
"14897468","Wes, Jay","height","5' 8 1/2""","IMDB","null"
"14897469","Wesche, Drew W","Born","21 August 1955","IMDB","null"
"14897470","Wesche, Drew W","countryOfBirth","Rahway, New Jersey, USA","IMDB","null"
"14897471","Wesche, Drew W","spouse_s","Londa Wesche","IMDB","null"
"14897472","Norman Wescoatt","Born","2 August 1911","IMDB","null"
"14897473","Norman Wescoatt","countryOfBirth","Maui, Hawaii, USA","IMDB","null"
"14897474","Norman Wescoatt","Died","3 September 1987","IMDB","null"
"14897475","Wescott, Brian","height","5' 9""","IMDB","null"
"14897476","Wescott, Edward Noyes","Born","27 September 1846","IMDB","null"
"14897477","Wescott, Edward Noyes","countryOfBirth","Syracuse, New York, USA","IMDB","null"
"14897478","Wescott, Edward Noyes","Died","31 March 1900","IMDB","null"
"14897479","Wescott, Lynda","Born","17 June 1942","IMDB","null"
"14897480","Wescott, Lynda","countryOfBirth","Muskegon, Michigan, USA","IMDB","null"
"14897481","Wescott, Megan Elizabeth","height","170 cm","IMDB","null"
"14897482","Wescott, Rhiannon","height","5' 6""","IMDB","null"
"14897483","Seth Benjamin Wescott","Born","23 June 1976","IMDB","null"
"14897484","Seth Benjamin Wescott","countryOfBirth","Durham, North Carolina, USA","IMDB","null"
"14897485","Wescott, Shelbi","Born","30 August 1980","IMDB","null"
"14897486","Wescott, Shelbi","countryOfBirth","Portland, Oregon, USA","IMDB","null"
"14897487","Wescott, Shelbi","spouse_s","Matthew Sherman","IMDB","null"
"14897488","Wescott, Shelbi","height","5' 1 1/2""","IMDB","null"
"14897489","Thomas Colwell Wescott","Born","21 November 1973","IMDB","null"
"14897490","Thomas Colwell Wescott","countryOfBirth","Jefferson City, Missouri, USA","IMDB","null"
"14897491","Thomas Colwell Wescott","height","6' 2""","IMDB","null"
"14897492","Alexandra Michele Wescourt","Born","12 July 1975","IMDB","null"
"14897493","Alexandra Michele Wescourt","countryOfBirth","London, England, UK","IMDB","null"
"14897494","Alexandra Michele Wescourt","parents","Gordon Wescourt","IMDB","null"
"14897495","Wescourt, Gordon","Born","1939","IMDB","null"
"14897496","Wesdell, Nathan","Born","27 October 1997","IMDB","null"
"14897497","Wesdell, Nathan","countryOfBirth","Orange, California, USA","IMDB","null"
"14897498","Wesel, Uwe","Born","1933","IMDB","null"
"14897499","Wesel, Uwe","countryOfBirth","Hamburg, Germany","IMDB","null"
"14897500","Cody Tyler Weselis","Born","23 June 1991","IMDB","null"
"14897501","Cody Tyler Weselis","countryOfBirth","Park City, Utah, USA","IMDB","null"
"14897502","Weselis, Danny","Children","Cody Weselis","IMDB","null"
"14897503","Wesely, Don","Born","30 March 1954","IMDB","null"
"14897504","Wesely, Don","countryOfBirth","David City, Nebraska, USA","IMDB","null"
"14897505","Weseman, Pauline","Born","1972","IMDB","null"
"14897506","Linda Wesenbeek","spouse_s","?","IMDB","null"
"14897507","Wesener, Eduard","Born","8 January 1909","IMDB","null"
"14897508","Wesener, Eduard","Died","4 March 1952","IMDB","null"
"14897509","Wesener, Eduard","spouse_s","Paula Lepa","IMDB","null"
"14897510","Wesenlund, Rolv","Born","17 September 1936","IMDB","null"
"14897511","Wesenlund, Rolv","countryOfBirth","Horten, Norway","IMDB","null"
"14897512","Wesenlund, Rolv","Died","18 August 2013","IMDB","null"
"14897513","Wesenlund, Rolv","spouse_s","Ruth","IMDB","null"
"14897514","Weske, Brian","Born","23 December 1932","IMDB","null"
"14897515","Weske, Brian","countryOfBirth","Stockwell, London, England, UK","IMDB","null"
"14897516","Weske, Brian","Died","15 October 2001","IMDB","null"
"14897517","Weske, Brian","parents","H Victor Weske;Rita Tobin-Weske","IMDB","null"
"14897518","Weske, Brian","spouse_s","Yole Marinelli","IMDB","null"
"14897519","Weske, H Victor","Born","20 July 1899","IMDB","null"
"14897520","Weske, H Victor","countryOfBirth","London, England, UK","IMDB","null"
"14897521","Weske, H Victor","Died","29 November 1960","IMDB","null"
"14897522","Weske, H Victor","Children","Rita Tobin-Weske","IMDB","null"
"14897523","Weske, H Victor","spouse_s","Alexandra Anne;Rita Tobin-Weske","IMDB","null"
"14897524","Weske, Tim","height","6'","IMDB","null"
"14897525","Wesker, Arnold","Born","24 May 1932","IMDB","null"
"14897526","Wesker, Arnold","countryOfBirth","Stepney, London, England, UK","IMDB","null"
"14897527","Weski, Inez","Born","1955","IMDB","null"
"14897528","Weslak, Brooke","spouse_s","Steve Weslak (I)","IMDB","null"
"14897529","Weslak, Steve (I)","Born","13 May 1957","IMDB","null"
"14897530","Weslak, Steve (I)","countryOfBirth","Scarborough, Ontario, Canada","IMDB","null"
"14897531","Weslak, Steve (I)","spouse_s","Brooke Weslak","IMDB","null"
"14897532","Weslaw-Idzinska, Wanda","Born","20 August 1925","IMDB","null"
"14897533","Weslaw-Idzinska, Wanda","Died","21 November 2004","IMDB","null"
"14897534","Jocelyn Victoria Wesler","Born","26 September 1983","IMDB","null"
"14897535","Jocelyn Victoria Wesler","countryOfBirth","Richmond, Indiana, USA","IMDB","null"
"14897536","Jocelyn Victoria Wesler","height","5' 3""","IMDB","null"
"14897537","Wesley (I)","Born","22 October 1980","IMDB","null"
"14897538","Wesley (I)","height","5' 6""","IMDB","null"
"14897539","Barbara Lee Wesley","Born","31 October 1925","IMDB","null"
"14897540","Barbara Lee Wesley","countryOfBirth","Los Angeles, California, USA","IMDB","null"
"14897541","Wesley, Billy","Born","July 1966","IMDB","null"
"14897542","Wesley, Billy","countryOfBirth","New York City, New York, USA","IMDB","null"
"14897543","Wesley, Charles (I)","height","6' 1""","IMDB","null"
"14897544","Wesley, Charles (II)","Born","11 December 1757","IMDB","null"
"14897545","Wesley, Charles (II)","countryOfBirth","Bristol, England, UK","IMDB","null"
"14897546","Wesley, Charles (II)","Died","23 May 1834","IMDB","null"
"14897547","Wesley, Charles James","height","6' 3""","IMDB","null"
"14897548","Cynthia Diane Wesley","Born","30 April 1949","IMDB","null"
"14897549","Cynthia Diane Wesley","countryOfBirth","Birmingham, Alabama, USA","IMDB","null"
"14897550","Cynthia Diane Wesley","Died","15 September 1963","IMDB","null"
"14897551","Wesley, Dana","Born","26 April 1975","IMDB","null"
"14897552","Wesley, Dana","countryOfBirth","Baton Rouge, Louisiana, USA","IMDB","null"
"14897553","Wesley, Dana","height","5' 5""","IMDB","null"
"14897554","Daniel Gerard Wesley","Born","2 April 1985","IMDB","null"
"14897555","Daniel Gerard Wesley","countryOfBirth","Brooklyn, New York, USA","IMDB","null"
"14897556","Daniel Gerard Wesley","height","5' 8""","IMDB","null"
"14897557","Daniél Wesley","Born","14 September 1978","IMDB","null"
"14897558","Daniél Wesley","countryOfBirth","California","IMDB","null"
"14897559","Daniél Wesley","height","5' 4""","IMDB","null"
"14897560","Dante Julius Wesley","Born","5 April 1979","IMDB","null"
"14897561","Dante Julius Wesley","countryOfBirth","St. Louis, Missouri, USA","IMDB","null"
"14897562","Dante Julius Wesley","height","6' 1""","IMDB","null"
"14897563","David Barakau Wesley","Born","14 November 1970","IMDB","null"
"14897564","David Barakau Wesley","countryOfBirth","San Antonio, Texas, USA","IMDB","null"
"14897565","Wesley, David Joseph","Born","27 December 1976","IMDB","null"
"14897566","Wesley, David Joseph","countryOfBirth","Peoria, Illinois, USA","IMDB","null"
"14897567","Wesley, Dianne","Born","20 February 1953","IMDB","null"
"14897568","Wesley, Dianne","countryOfBirth","USA","IMDB","null"
"14897569","Emily Beth Wesley","Born","31 October 1988","IMDB","null"
"14897570","Emily Beth Wesley","countryOfBirth","Somerset, Kentucky, USA","IMDB","null"
"14897571","Emily Beth Wesley","height","5' 6""","IMDB","null"
"14897572","Wesley, Fred","Born","4 July 1943","IMDB","null"
"14897573","Wesley, Fred","countryOfBirth","Mobile, Alabama, USA","IMDB","null"
"14897574","Gregory Lashon Wesley","Born","19 March 1978","IMDB","null"
"14897575","Gregory Lashon Wesley","countryOfBirth","Little Rock, Arkansas, USA","IMDB","null"
"14897576","Gregory Lashon Wesley","height","6' 2""","IMDB","null"
"14897577","Wesley, Jeremy","Born","7 January 1982","IMDB","null"
"14897578","Wesley, Jeremy","countryOfBirth","Wandiligong, Victoria, Australia","IMDB","null"
"14897579","Wesley, Jeremy","height","6'","IMDB","null"
"14897580","Wesley, Jerry","spouse_s","Betty Wesley","IMDB","null"
"14897581","Wesley, Jerry","height","5' 8""","IMDB","null"
"14897582","Wesley, John (I)","height","5' 11""","IMDB","null"
"14897583","John Wesley Dearth, III","Born","June 1962","IMDB","null"
"14897584","John Wesley Dearth, III","countryOfBirth","Brandon, Florida, USA","IMDB","null"
"14897585","Wesley, John (V)","height","5' 11 1/2""","IMDB","null"
"14897586","Wesley, John (VI)","height","6' 3""","IMDB","null"
"14897587","Wesley, Marilyn","Born","1936","IMDB","null"
"14897588","Wesley, Marilyn","countryOfBirth","Alaska, USA","IMDB","null"
"14897589","Mary Aline Mynors Farmar","Born","24 June 1912","IMDB","null"
"14897590","Mary Aline Mynors Farmar","countryOfBirth","Englefield Green, Surrey, England, UK","IMDB","null"
"14897591","Mary Aline Mynors Farmar","Died","30 December 2002","IMDB","null"
"14897592","Mary Aline Mynors Farmar","spouse_s","Eric Siepmann;Lord Swinfen","IMDB","null"
"14897593","Wesley, Mia","spouse_s","Henry Capanna","IMDB","null"
"14897594","Wesley, Michael (II)","Born","4 December 1967","IMDB","null"
"14897595","Wesley, Michael (II)","countryOfBirth","Buffalo, New York, USA","IMDB","null"
"14897596","Paul Thomas Wasilewski","Born","23 July 1982","IMDB","null"
"14897597","Paul Thomas Wasilewski","countryOfBirth","New Brunswick, New Jersey, USA","IMDB","null"
"14897598","Paul Thomas Wasilewski","parents","Tomasz Wasilewski (I)","IMDB","null"
"14897599","Paul Thomas Wasilewski","spouse_s","Torrey DeVitto","IMDB","null"
"14897600","Paul Thomas Wasilewski","height","5' 11""","IMDB","null"
"14897601","Wesley, Richard (I)","Born","11 July 1945","IMDB","null"
"14897602","Wesley, Richard (I)","countryOfBirth","Newark, New Jersey, USA","IMDB","null"
"14897603","Wesley, Richard (I)","spouse_s","Valerie Wilson","IMDB","null"
"14897604","Wesley, Richard (I)","height","6' 3""","IMDB","null"
"14897605","Wesley, Royce","height","5' 9""","IMDB","null"
"14897606","Rutina L. Wesley","Born","1 February 1979","IMDB","null"
"14897607","Rutina L. Wesley","countryOfBirth","Las Vegas, Nevada, USA","IMDB","null"
"14897608","Rutina L. Wesley","spouse_s","Jacob Fishel","IMDB","null"
"14897609","Rutina L. Wesley","height","5' 5 1/2""","IMDB","null"
"14897610","Ryan Peter Davies","height","6' 2""","IMDB","null"
"14897611","Wesley, Tara","height","5' 7""","IMDB","null"
"14897612","Wesley, Terry","Born","9 December 1978","IMDB","null"
"14897613","Wesley, Terry","countryOfBirth","St. Louis, Missouri, USA","IMDB","null"
"14897614","Michael Thomas Wesley-Smith","Born","2 December 1983","IMDB","null"
"14897615","Michael Thomas Wesley-Smith","countryOfBirth","Wellington, New Zealand","IMDB","null"
"14897616","Michael Thomas Wesley-Smith","height","5' 9""","IMDB","null"
"14897617","Anna Susanna Wesling","Born","28 December 1888","IMDB","null"
"14897618","Anna Susanna Wesling","countryOfBirth","Amsterdam, Noord-Holland, Netherlands","IMDB","null"
"14897619","Anna Susanna Wesling","Died","29 November 1957","IMDB","null"
"14897620","Anna Susanna Wesling","spouse_s","Theo Frenkel","IMDB","null"
"14897621","Weslowska, Ada","Died","19 April 2010","IMDB","null"
"14897622","Wesner, A. Burt","Born"," 1866","IMDB","null"
"14897623","Wesner, A. Burt","Died","3 January 1920","IMDB","null"
"14897624","Wesner, Damien","height","6' 2""","IMDB","null"
"14897625","Wesolowska, Agnieszka","Born","26 August 1943","IMDB","null"
"14897626","Wesolowska, Agnieszka","countryOfBirth","Ostrowiec Swietokrzyski, Swietokrzyskie, Poland","IMDB","null"
"14897627","Wesolowska, Anna (I)","Born","16 March 1941","IMDB","null"
"14897628","Wesolowska, Anna (I)","countryOfBirth","Warsaw, Mazowieckie, Poland","IMDB","null"
"14897629","Wesolowska, Anna (II)","Born","21 July 1955","IMDB","null"
"14897630","Wesolowska, Anna (II)","countryOfBirth","Siemianowice Slaskie, Slaskie, Poland","IMDB","null"
"14897631","Wesolowska, Jolanta","Born","18 October 1948","IMDB","null"
"14897632","Wesolowska, Jolanta","countryOfBirth","Swidnica, Dolnoslaskie, Poland","IMDB","null"
"14897633","Wesolowska, Wieslawa","Born","14 February 1953","IMDB","null"
"14897634","Wesolowska, Wieslawa","countryOfBirth","Berlin, Germany","IMDB","null"
"14897635","Wesolowska, Wieslawa","height","168 cm","IMDB","null"
"14897636","Wesolowski, Emil","Born","11 August 1947","IMDB","null"
"14897637","Wesolowski, Emil","countryOfBirth","Zary, Lubuskie, Poland","IMDB","null"
"14897638","Wesolowski, Jakub","Born","2 July 1985","IMDB","null"
"14897639","Wesolowski, Jakub","countryOfBirth","Warsaw, Mazowieckie, Poland","IMDB","null"
"14897640","Wesolowski, Joseph","height","5' 6""","IMDB","null"
"14897641","Wesley Johnson","Born","1945","IMDB","null"
"14897642","Wesley Johnson","countryOfBirth","Winston-Salem, North Carolina, USA","IMDB","null"
"14897643","Wesley Johnson","Died","21 September 2009","IMDB","null"
"14897644","Frank Wellington Wess","Born","4 January 1922","IMDB","null"
"14897645","Frank Wellington Wess","countryOfBirth","Kansas City, Missouri, USA","IMDB","null"
"14897646","Frank Wellington Wess","Died","30 October 2013","IMDB","null"
"14897647","Frank Wellington Wess","spouse_s","Virginia Wess","IMDB","null"
"14897648","Otto Francis Wess","Born","27 February 1914","IMDB","null"
"14897649","Otto Francis Wess","Died","18 March 1969","IMDB","null"
"14897650","Rodney Rollie Waddell Wess","Born","9 December 1977","IMDB","null"
"14897651","Rodney Rollie Waddell Wess","countryOfBirth","Aurora, Colorado, USA","IMDB","null"
"14897652","Rodney Rollie Waddell Wess","height","5' 8 1/2""","IMDB","null"
"14897653","Wessberg, Emil","Born","1964","IMDB","null"
"14897654","Wessel, Dick","Born","20 April 1913","IMDB","null"
"14897655","Wessel, Dick","countryOfBirth","Milwaukee, Wisconsin, USA","IMDB","null"
"14897656","Wessel, Dick","Died","20 April 1965","IMDB","null"
"14897657","Wessel, Horst","Born","9 September 1907","IMDB","null"
"14897658","Wessel, Horst","countryOfBirth","Bielefeld, Germany","IMDB","null"
"14897659","Wessel, Horst","Died","23 February 1930","IMDB","null"
"14897660","Wessel, Jessie","Born","13 April 1894","IMDB","null"
"14897661","Wessel, Jessie","countryOfBirth","Linköping, Sweden","IMDB","null"
"14897662","Wessel, Jessie","Died","23 August 1948","IMDB","null"
"14897663","Wessel, Johan Herman","Born","6 October 1741","IMDB","null"
"14897664","Wessel, Johan Herman","Died","29 December 1785","IMDB","null"
"14897665","Wessel, John (I)","Born","1941","IMDB","null"
"14897666","Wessel, John (I)","countryOfBirth","St. Louis, Missouri, USA","IMDB","null"
"14897667","Wessel, John (I)","Died","9 December 2011","IMDB","null"
"14897668","Wessel, John (I)","spouse_s","William C. O","IMDB","null"
"14897669","Wessel, Kai (I)","Born","19 September 1961","IMDB","null"
"14897670","Wessel, Kai (I)","countryOfBirth","Hamburg, Germany","IMDB","null"
"14897671","Wessel, Larry","spouse_s","Tora","IMDB","null"
"14897672","Marlon David Wessel","Born","23 April 1991","IMDB","null"
"14897673","Marlon David Wessel","countryOfBirth","Germany","IMDB","null"
"14897674","Patrick John Wessel","Born","16 July 1985","IMDB","null"
"14897675","Patrick John Wessel","countryOfBirth","Arcadia Valley, Missouri, USA","IMDB","null"
"14897676","Patrick John Wessel","Died","24 October 2010","IMDB","null"
"14897677","Leon Finn Wessel-Masannek","Born","23 December 1992","IMDB","null"
"14897678","Wessel-Therhorn, Andreas","Born","19 May 1964","IMDB","null"
"14897679","Wessel-Therhorn, Andreas","countryOfBirth","Muenster, Germany","IMDB","null"
"14897680","Wesseler, Karl","Born","11 April 1929","IMDB","null"
"14897681","Wesseler, Karl","countryOfBirth","Düsseldorf, North Rhine-Westphalia, Germany","IMDB","null"
"14897682","Wesseler, Karl","Died","26 April 2010","IMDB","null"
"14897683","Wesselhoeft, Eleanor","Born","28 December 1882","IMDB","null"
"14897684","Wesselhoeft, Eleanor","countryOfBirth","Cambridge, Massachusetts, USA","IMDB","null"
"14897685","Wesselhoeft, Eleanor","Died","9 December 1945","IMDB","null"
"14897686","Wesselhoeft, Eleanor","spouse_s","? Henderson;? Tornow","IMDB","null"
"14897687","Wesselhoff, Frank","Born","12 June 1912","IMDB","null"
"14897688","Wesselhoff, Frank","countryOfBirth","Dwight, Illinois, USA","IMDB","null"
"14897689","Wesselhoff, Frank","Died","9 September 1986","IMDB","null"
"14897690","Wesselink, Filemon","Born","24 March 1979","IMDB","null"
