"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"alexandria","Population2001","35","1876487: El Greco","null"
"alexandria","Population2001","3500000","930820: Alan.ca","null"
"alexandria, indiana","Population2000","6260","321035: Marvin01","null"
"alexandria, indiana","Population2000","6260","5512121: CapitalBot","null"
"alexandria, louisiana","Population2000","46342","471173: Weatherguy08","null"
"alexandria, virginia","Population2000","128283","0 (201.37.169.136)","null"
"alexandria, virginia","Population2000","128283","5512121: CapitalBot","null"
"atlanta, georgia","Population2004","425000","343214: Derek.cashman","null"
"atlanta, georgia","Population2004","1425000","0 (12.216.80.221)","null"
"atlanta, georgia","Population2004","425000","0 (12.169.67.194)","null"
"atlanta, georgia","Population2004","1425000","1130745: Brendan3","null"
"atlanta, georgia","Population2004","419122","0 (131.95.178.163)","null"
"atlanta, georgia","Population2004","1419122","0 (12.215.129.86)","null"
"atlanta, georgia","Population2004","419122","676502: Naconkantari","null"
"atlanta, georgia","Population2004","419123","0 (66.56.2.220)","null"
"atlanta, georgia","Population2004","419122","249117: Preslethe","null"
"atlanta, georgia","Population2005","470688","1025703: Onyourside","null"
"atlanta, georgia","Population2006","500243","0 (71.77.204.42)","null"
"atlanta, georgia","Population2005","470688","1804716: GGreeneVa","null"
"atlanta, georgia","Population2005","483108","194622: Ryoung122","null"
"atlanta, georgia","Population2006","483108","0 (4.237.238.155)","null"
"atlanta, georgia","Population2006","3849378","4793213: Westsidesbi","null"
"atlanta, georgia","Population2006","483108","7580: Ahoerstemeier","null"
"atlanta, georgia","Population2007","509321","1678199: Fred1","null"
"atlanta, georgia","Population2006","483108","511164: Polaron","null"
"berlin","Population0010","3405300","627347: MJCdetroit","null"
"bratislava","Population0031","425155","2220374: MarkBA","null"
"bratislava","Population0031","1425155","0 (217.119.125.34)","null"
"bratislava","Population0031","425155","723736: Tankred","null"
"bratislava","Population2005","425459","4196751: MikeGogulski","null"
"bratislava","Population2006","426091","0 (213.162.125.144)","null"
"brussels","Population2003","992041","44443: Moyogo","null"
"brussels","Population2005","140000","264030: VolatileChemical","null"
"brussels","Population2005","1024492","4334372: Pdeleenh","null"
"brussels","Population2007","1031215","0 (81.246.129.6)","null"
"bitola","Population2002","95385","4529313: Uuttyyrreess","null"
"beijing","Population2004","14930000","627347: MJCdetroit","null"
"beijing","Population2007","17200000","0 (88.103.223.111)","null"
"beijing","Population2004","11595000","66031: M.R.Forrester","null"
"beijing","Population2007","17201000","5983165: Banana Guy","null"
"beijing","Population2007","17200000","382591: BorgQueen","null"
"beijing","Population2007","4","0 (207.236.151.102)","null"
"beijing","Population2007","17200000","4928500: ClueBot","null"
"beijing","Population2007","17430000","2683112: Bogomolov.PL","null"
"buffalo, new york","Population2000","292648","131603: PAR","null"
"buffalo, new york","Population2000","100","0 (129.21.153.44)","null"
"buffalo, new york","Population2000","292648","142494: Tommycw1","null"
"buffalo, new york","Population2000","18","0 (168.169.179.124)","null"
"buffalo, new york","Population2000","282648","688829: T 22779","null"
"buffalo, new york","Population2000","28264","480452: Mdd4696","null"
"buffalo, new york","Population2000","282864","142352: Pbones","null"
"buffalo, new york","Population2000","292648","0 (12.31.22.12)","null"
"buffalo, new york","Population2006","292648","1291401: Alucard (Dr.)","null"
"buffalo, new york","Population2006","29","0 (168.169.91.40)","null"
"buffalo, new york","Population2006","292648","359110: Veatch","null"
"buffalo, new york","Population2000","292648","627347: MJCdetroit","null"
"buffalo, new york","Population2000","279745","0 (24.190.6.45)","null"
"buffalo, new york","Population2005","254654","1678199: Fred1","null"
"buffalo, new york","Population2005","279745","850615: Special-T","null"
"buffalo, new york","Population2005","50000000","0 (72.136.44.88)","null"
"buffalo, new york","Population2005","279745","97951: Bobo192","null"
"buffalo, new york","Population2005","279745","5512121: CapitalBot","null"
"boston, massachusetts","Population2000","589141","201610: Pentawing","null"
"boston, massachusetts","Population2004","569165","290770: YoavShapira","null"
"boston, massachusetts","Population2004","569165","511164: Polaron","null"
"boston, massachusetts","Population2005","596638","0 (68.169.45.201)","null"
"boston, massachusetts","Population2005","576638","0 (151.203.56.53)","null"
"boston, massachusetts","Population2005","600000","0 (67.183.153.10)","null"
"boston, massachusetts","Population2005","559034","783435: Loodog","null"
"boston, massachusetts","Population2006","590763","0 (70.176.187.166)","null"
"boston, massachusetts","Population2005","596638","435516: Blnguyen","null"
"boston, massachusetts","Population2006","590763","5512121: CapitalBot","null"
"boston, massachusetts","Population2006","596763","0 (64.69.127.110)","null"
"boston, massachusetts","Population2006","590763","28804: Ajd","null"
"battle creek, michigan","Population2000","53364","827692: Rawmustard","null"
"battle creek, michigan","Population2000","53364","5512121: CapitalBot","null"
"baghdad","Population2005","7400000","455530: John85mh","null"
"baghdad","Population2006","45","627347: MJCdetroit","null"
"baghdad","Population2006","32425424","0 (207.235.161.2)","null"
"baghdad","Population2006","5762","0 (217.84.190.147)","null"
"baghdad","Population2006","45","155722: Variable","null"
"boone, north carolina","Population2000","13472","5512121: CapitalBot","null"
"boone, north carolina","Population2000","130472","0 (152.10.204.57)","null"
"boone, north carolina","Population2000","13472","3614334: BobTheTomato","null"
"boone, north carolina","Population2006","14473","5478189: Detroiterbot","null"
"bishkek","Population2005","900000","8029: Docu","null"
"baku","Population2005","2036000","276745: Brandmeister","null"
"baku","Population2005","4198491","0 (62.217.133.200)","null"
"baku","Population2005","2036000","92203: El C","null"
"talk:berlin","Population0010","3405300","627347: MJCdetroit","null"
"talk:berlin","Population0005","3398888","2217552: 52 Pickup","null"
"brasília","Population2005","2333108","2372578: Limongi","null"
"brasília","Population2006","2383784","429076: Chicocvenancio","null"
"brasília","Population2007","2383784","0 (218.101.112.193)","null"
"brasília","Population2006","2383784","466067: Criticalthinker","null"
"brasília","Population2006","2988","0 (208.107.123.99)","null"
"brasília","Population2006","2383784","391831: Team venture","null"
"brasília","Population2006","3018632","0 (189.17.207.184)","null"
"brasília","Population2006","2","4042147: Stan En","null"
"brasília","Population2007","2","0 (189.6.18.196)","null"
"brasília","Population2007","2455903","5837370: Edson Rosa","null"
"berkeley, california","Population2000","102743","0 (70.231.151.134)","null"
"berkeley, california","Population2000","99653","0 (207.69.137.24)","null"
"berkeley, california","Population2000","102743","0 (71.141.229.224)","null"
"berkeley, california","Population2000","102743","5512121: CapitalBot","null"
"cambridge, massachusetts","Population2000","101355","744515: Superdosh","null"
"cambridge, massachusetts","Population2000","101354","988917: CapitalR","null"
"cambridge, massachusetts","Population2000","101354","5512121: CapitalBot","null"
"calgary","Population2001","991759","0 (207.6.211.111)","null"
"calgary","Population2006","988193","627347: MJCdetroit","null"
"calgary","Population2006","1019942","0 (70.72.3.81)","null"
"calgary","Population2006","10","3806724: Shawchukinator","null"
"calgary","Population2006","1019942","149061: Djsasso","null"
"calgary","Population2006","21112","0 (130.15.164.106)","null"
"calgary","Population2006","1019942","732552: Vidioman","null"
"calgary","Population2006","1019942","33: Derek Ross","null"
"calgary","Population2006","875000","0 (69.181.220.142)","null"
"calgary","Population2006","1019942","889409: Qyd","null"
"cardiff","Population2006","317500","4493105: Seth Whales","null"
"cardiff","Population2007","320500","0 (172.212.77.124)","null"
"cardiff","Population2006","1317500","0 (172.206.241.19)","null"
"cardiff","Population2001","292150","0 (90.203.45.214)","null"
"cardiff","Population2006","317500","5907738: Bettia","null"
"columbus, ohio","Population2000","711470","488078: Aivazovsky","null"
"columbus, ohio","Population2004","730008","0 (70.58.4.40)","null"
"columbus, ohio","Population2000","711470","343214: Derek.cashman","null"
"columbus, ohio","Population2005","730657","487916: Ajwebb","null"
"columbus, ohio","Population2006","730657","562116: Analogue Kid","null"
"columbus, ohio","Population2006","733203","5512121: CapitalBot","null"
"cleveland, ohio","Population2000","478403","81676: Beirne","null"
"cleveland, ohio","Population2005","478403","3250998: Madeka","null"
"cleveland, ohio","Population2000","478403","94900: EurekaLott","null"
"cleveland, ohio","Population2000","478403","627347: MJCdetroit","null"
"cleveland, ohio","Population2006","444313","0 (70.176.187.166)","null"
"cleveland, ohio","Population2000","444323","0 (75.179.37.144)","null"
"cleveland, ohio","Population2000","478403","1960810: Nyttend","null"
"cleveland, ohio","Population2000","372628","0 (130.13.0.12)","null"
"cleveland, ohio","Population2000","478403","1948715: Confiteordeo","null"
"cleveland, ohio","Population2000","478404","0 (71.17.156.29)","null"
"cincinnati, ohio","Population2005","306382","127255: Bigcheesebebbs","null"
"cincinnati, ohio","Population2004","314154","488078: Aivazovsky","null"
"cincinnati, ohio","Population2014","314154","0 (165.138.80.187)","null"
"cincinnati, ohio","Population2004","314154","15865: Steinsky","null"
"cincinnati, ohio","Population2005","308728","0 (66.238.151.200)","null"
"cincinnati, ohio","Population2005","331310","1077355: Tpetross","null"
"cincinnati, ohio","Population2005","368868","0 (65.27.181.168)","null"
"cincinnati, ohio","Population2005","308728","4507892: Cathair","null"
"cincinnati, ohio","Population2005","368868","1387875: Seicer","null"
"cincinnati, ohio","Population2005","332252","0 (66.117.238.156)","null"
"cincinnati, ohio","Population2005","368868","750912: Paultyng","null"
"cincinnati, ohio","Population2006","332252","2831561: OHWiki","null"
"cincinnati, ohio","Population2006","378259","0 (207.250.93.199)","null"
"cincinnati, ohio","Population2006","332252","5512121: CapitalBot","null"
"colorado springs, colorado","Population2004","369363","514234: JeffreyAllen1975","null"
"colorado springs, colorado","Population2005","369815","487916: Ajwebb","null"
"colorado springs, colorado","Population3001","0","0 (24.8.208.224)","null"
"colorado springs, colorado","Population2005","369815","1346751: Septagram","null"
"cairo","Population2005","7438376","552888: Jaw101ie","null"
"cairo","Population2006","7500000","2639766: Islamomt","null"
"cairo","Population2007","7734334","3147519: Da Funky Prince","null"
"cairo","Population2006","7500000","511164: Polaron","null"
"cairo","Population2006","15907000","0 (85.13.250.114)","null"
"cairo","Population2006","7734334","1746818: Sittaconde","null"
"chojnów","Population2004","14510","2570636: Hiuppo","null"
"chojnów","Population2006","14389","5017767: Kotniski","null"
"concord, new hampshire","Population2000","40687","201610: Pentawing","null"
"concord, new hampshire","Population2000","42970","0 (12.160.193.229)","null"
"concord, new hampshire","Population2000","40687","16168: SatyrTN","null"
"concord, new hampshire","Population2000","40687","5512121: CapitalBot","null"
"cadillac, michigan","Population2000","10000","637738: Max melstrom","null"
"cadillac, michigan","Population2000","10000","5512121: CapitalBot","null"
"cedar falls, iowa","Population2000","36145","5512121: CapitalBot","null"
"cape town","Population2004","2893251","10106: Jeandré du Toit","null"
"cape town","Population2001","2893251","2177801: Adriaan90","null"
"cape town","Population2001","523","0 (203.185.215.144)","null"
"columbia, missouri","Population2006","90593","427772: Octavian X","null"
"columbia, missouri","Population2006","91877","2020595: Grey Wanderer","null"
"columbus, indiana","Population2000","39059","620554: Harpchad","null"
"columbus, indiana","Population2000","39059","5512121: CapitalBot","null"
"city of london","Population2005","9200","627347: MJCdetroit","null"
"chicago","Population2004","2896016","125534: Andrew pmk","null"
"chicago","Population2000","2896016","488078: Aivazovsky","null"
"chicago","Population2004","2862244","681774: RJN","null"
"chicago","Population2006","2873790","0 (71.201.21.182)","null"
"chicago","Population2005","2842518","256873: Butros","null"
"chicago","Population2006","2873790","1827637: FUCKOFF","null"
"chicago","Population2005","2842518","62058: DragonflySixtyseven","null"
"chicago","Population2006","2873790","0 (67.162.109.134)","null"
"chicago","Population2005","2842518","170381: JeremyA","null"
"chicago","Population2006","2873790","1827097: No more bongos","null"
"chicago","Population2005","2842518","276590: Un sogno modesto","null"
"chicago","Population2005","638900","0 (24.15.169.184)","null"
"chicago","Population2005","2842518","725438: DDima","null"
"chicago","Population2005","2896016","2521609: DJDavis92","null"
"chicago","Population2006","2873790","0 (71.194.165.152)","null"
"chicago","Population2006","2873790","0 (67.162.108.111)","null"
"chicago","Population2005","2842518","1478872: Ufwuct","null"
"chicago","Population2005","2873518","0 (75.177.165.199)","null"
"chicago","Population2005","2873518","115383: Jcrocker","null"
"chicago","Population2005","377599","3355975: Partyboi59","null"
"chicago","Population2005","2873518","73256: Lpangelrob","null"
"chicago","Population2005","2984629","0 (66.72.103.168)","null"
"chicago","Population2005","2873518","182902: Zzyzx11","null"
"chicago","Population2005","2873790","0 (71.77.22.33)","null"
"chicago","Population2005","823591","0 (130.13.1.15)","null"
"chicago","Population2005","2873790","441605: Gruber76","null"
"chicago","Population2006","4648714","0 (24.251.235.219)","null"
"chicago","Population2005","2873790","2977547: Speciate","null"
"chicago","Population2006","2833321","107782: Arkyan","null"
"chicago","Population2006","2873790","0 (70.224.60.248)","null"
"chicago","Population2006","2873790","0 (217.209.147.193)","null"
"chicago","Population2006","2833321","5005681: Westsidelife","null"
"chicago","Population2006","2873326","0 (75.179.37.144)","null"
"chicago","Population2006","2873321","0 (69.25.39.22)","null"
"chicago","Population2006","2833321","961280: Shoeofdeath","null"
"chicago","Population2006","2873321","1791173: Urbaneddie","null"
"chicago","Population2006","2873322","0 (71.201.191.23)","null"
"chicago","Population2006","2873321","783435: Loodog","null"
"chicago","Population2006","2833321","4720946: MJS2300","null"
"chicago","Population2006","2833321","5478189: Detroiterbot","null"
"carson city, nevada","Population2000","52457","919557: Jnk","null"
"carson city, nevada","Population2000","57104","663372: Ermacrules29","null"
"carson city, nevada","Population2006","57701","424089: MojaveNC","null"
"carson city, nevada","Population2006","55289","0 (70.176.187.166)","null"
"carson city, nevada","Population2006","55289","5478189: Detroiterbot","null"
"concord, michigan","Population2000","1101","5512121: CapitalBot","null"
"dayton, ohio","Population2000","166179","620554: Harpchad","null"
"dayton, ohio","Population2005","158873","0 (66.238.151.200)","null"
"delft","Population2007","95300","231599: Eubot","null"
"denver, colorado","Population2005","555981","127255: Bigcheesebebbs","null"
"denver, colorado","Population2005","560400","0 (198.104.0.100)","null"
"denver, colorado","Population2004","556835","46160: Rick Block","null"
"denver, colorado","Population2005","579774","0 (70.58.4.40)","null"
"denver, colorado","Population2005","556744","0 (67.176.166.224)","null"
"denver, colorado","Population2005","579744","29695: Postdlf","null"
"denver, colorado","Population2004","556835","273740: Gellersen","null"
"denver, colorado","Population2004","556835","268814: Vertigo700","null"
"denver, colorado","Population2004","581955","0 (206.188.51.25)","null"
"denver, colorado","Population2006","581955","774906: Editor19841","null"
"denver, colorado","Population2005","3456288","0 (69.170.84.40)","null"
"denver, colorado","Population2005","557917","925434: Ginkgo100","null"
"denver, colorado","Population1908","557917","0 (142.237.100.218)","null"
"denver, colorado","Population2005","557917","1491879: Adagio","null"
"denver, colorado","Population2006","557917","286968: Epolk","null"
"denver, colorado","Population2006","575927","0 (128.138.37.216)","null"
"denver, colorado","Population1492","5","0 (69.219.146.191)","null"
"denver, colorado","Population2006","566974","0 (68.78.185.227)","null"
"dedham, massachusetts","Population2000","23464","1035304: Briancua","null"
"dedham, massachusetts","Population2000","23225","988917: CapitalR","null"
"dedham, massachusetts","Population2000","23225","5512121: CapitalBot","null"
"davenport, iowa","Population2000","98359","28269: Iowahwyman","null"
"davenport, iowa","Population2000","98845","0 (12.216.93.178)","null"
"davenport, iowa","Population2005","98845","1943326: Ctjf83","null"
"davenport, iowa","Population2006","99514","5512121: CapitalBot","null"
"detroit, michigan","Population2000","951270","201610: Pentawing","null"
"detroit, michigan","Population2004","900198","681774: RJN","null"
"detroit, michigan","Population2004","7","0 (69.241.224.91)","null"
"detroit, michigan","Population2004","900198","92203: El C","null"
"detroit, michigan","Population2005","886","0 (63.232.15.172)","null"
"detroit, michigan","Population2005","886675","541756: 32X","null"
"detroit, michigan","Population2006","900932","2850080: Purpledrank2007","null"
"detroit, michigan","Population2005","886675","835: Rmhermen","null"
"detroit, michigan","Population2005","886","2883124: SkyBoxx","null"
"detroit, michigan","Population2005","886675","613507: DLand","null"
"detroit, michigan","Population2005","12","3282479: Johndeere001","null"
"detroit, michigan","Population2005","886675","1373447: Coaster1983","null"
"detroit, michigan","Population2006","886675","128792: Wangry","null"
"detroit, michigan","Population2005","1356002","0 (130.13.1.15)","null"
"detroit, michigan","Population2005","886671","466067: Criticalthinker","null"
"detroit, michigan","Population2006","2184332","0 (69.216.133.234)","null"
"detroit, michigan","Population2006","871121","44062: Bkonrad","null"
"detroit, michigan","Population2006","871121","627347: MJCdetroit","null"
"detroit, michigan","Population2006","850327","0 (71.54.175.7)","null"
"detroit, michigan","Population2006","871121","783435: Loodog","null"
"detroit, michigan","Population2006","918849","1551192: Thomas Paine1776","null"
"damascus","Population2005","4500000","451673: Samosyr","null"
"davis, california","Population2005","64401","201007: Will74205","null"
"davis, california","Population2005","129000","0 (75.40.144.236)","null"
"davis, california","Population2005","64401","57658: Antandrus","null"
"des moines, iowa","Population2000","198682","343214: Derek.cashman","null"
"des moines, iowa","Population2000","298682","0 (12.216.80.221)","null"
"des moines, iowa","Population2005","194163","487916: Ajwebb","null"
"des moines, iowa","Population2005","298682","0 (12.240.55.120)","null"
"des moines, iowa","Population2005","194163","28269: Iowahwyman","null"
"des moines, iowa","Population2005","298682","1741662: Your Dad","null"
"des moines, iowa","Population2005","210098","0 (12.216.20.61)","null"
"des moines, iowa","Population2005","4163890","0 (69.5.141.31)","null"
"des moines, iowa","Population2005","298645","0 (207.165.193.68)","null"
"des moines, iowa","Population2005","202477","0 (208.0.111.237)","null"
"des moines, iowa","Population2005","476588","0 (207.165.193.208)","null"
"des moines, iowa","Population2005","194163","345020: Malepheasant","null"
"des moines, iowa","Population2005","201655","0 (12.216.100.95)","null"
"des moines, iowa","Population2006","201163","0 (65.167.188.242)","null"
"des moines, iowa","Population2005","208183","0 (130.13.1.15)","null"
"des moines, iowa","Population2005","201093","0 (66.99.1.66)","null"
"des moines, iowa","Population2005","201602","4107026: Treyl719","null"
"des moines, iowa","Population2006","293886","0 (205.221.1.174)","null"
"des moines, iowa","Population2006","193886","5512121: CapitalBot","null"
"eindhoven","Population2007","209716","22016: Eugene van der Pijll","null"
"ellensburg, washington","Population2000","15414","5512121: CapitalBot","null"
"eugene, oregon","Population2003","142185","620554: Harpchad","null"
"eugene, oregon","Population2006","148595","2602832: Aboutmovies","null"
"eugene, oregon","Population2006","148595","5512121: CapitalBot","null"
"eugene, oregon","Population2006","153690","0 (75.170.30.143)","null"
"eugene, oregon","Population2006","148595","1706979: LeviathanMist","null"
"eugene, oregon","Population2007","153690","6106345: Yeit","null"
"elbląg","Population2006","127055","2570636: Hiuppo","null"
"eureka, missouri","Population2000","7676","5512121: CapitalBot","null"
"edo","Population1721","1000000","627347: MJCdetroit","null"
"fredericton","Population2001","47560","627347: MJCdetroit","null"
"fredericton","Population2006","50535","60804: Plasma east","null"
"fredericton","Population2006","167","0 (69.157.233.169)","null"
"fredericton","Population2006","50535","0 (156.34.211.60)","null"
"fortaleza","Population2005","2374944","870789: Cheiro de lysoform","null"
"fortaleza","Population2006","2416920","1051513: Fvasconcellos","null"
"fort wayne, indiana","Population2003","220486","32337: Davodd","null"
"fort wayne, indiana","Population2000","220486","605430: Randella","null"
"fort wayne, indiana","Population2004","220486","0 (70.58.4.40)","null"
"fort wayne, indiana","Population2004","219351","0 (71.141.149.77)","null"
"fort wayne, indiana","Population1823","2","0 (168.102.16.177)","null"
"fort wayne, indiana","Population2004","219351","13837: CTSWyneken","null"
"fort wayne, indiana","Population2005","223341","0 (148.61.225.89)","null"
"fort wayne, indiana","Population2005","582619","0 (130.13.1.15)","null"
"fort wayne, indiana","Population2005","223341","345020: Malepheasant","null"
"fort wayne, indiana","Population2005","223341","5512121: CapitalBot","null"
"fairmount, indiana","Population2000","2992","41995: Netoholic","null"
"fairmount, indiana","Population2000","2992","5512121: CapitalBot","null"
"fort collins, colorado","Population2000","118652","3052066: Sethant","null"
"fort collins, colorado","Population2000","118652","2829238: Ken g6","null"
"gothenburg","Population2006","487627","627347: MJCdetroit","null"
"gothenburg","Population2006","489757","0 (213.65.135.130)","null"
"gothenburg","Population2006","689757","0 (213.100.71.127)","null"
"gothenburg","Population2006","489757","256198: Valentinian","null"
"gothenburg","Population2006","490","0 (82.182.76.98)","null"
"gothenburg","Population2006","493","3143106: Danieller 213","null"
"guatemala city","Population2002","942348","466067: Criticalthinker","null"
"guatemala city","Population2002","2","0 (209.244.42.88)","null"
"guatemala city","Population2002","1","155722: Variable","null"
"guatemala city","Population2002","942348","5211196: Newstormer","null"
"guatemala city","Population2002","1202536","5751463: Gtman07","null"
"gdańsk","Population2006","458053","2570636: Hiuppo","null"
"guangzhou","Population2000","7607200","0 (123.202.221.94)","null"
"gary, indiana","Population2000","102746","620554: Harpchad","null"
"gary, indiana","Population2000","0","2278184: El diablo21","null"
"gary, indiana","Population2000","102746","509520: Betacommand","null"
"gary, indiana","Population2000","102746","5512121: CapitalBot","null"
"gary, indiana","Population2006","97715","4244211: Mbchlg414","null"
"gdynia","Population2006","249342","2474001: AndrzejCC","null"
"goshen, indiana","Population2000","29383","620554: Harpchad","null"
"goshen, indiana","Population2000","29383","5512121: CapitalBot","null"
"hilversum","Population2007","83640","231599: Eubot","null"
"helsinki","Population2006","565186","4470194: Jontts","null"
"helsinki","Population2006","568146","0 (211.9.101.72)","null"
"houston, texas","Population2004","2012626","239268: Hottentot","null"
"houston, texas","Population2006","2267802","0 (65.129.169.36)","null"
"houston, texas","Population2004","2012626","681774: RJN","null"
"houston, texas","Population2005","2016582","1265360: JFreeman","null"
"houston, texas","Population2005","2048446","0 (65.133.217.239)","null"
"houston, texas","Population2005","2016582","0 (12.40.25.30)","null"
"houston, texas","Population2005","2076189","1799042: Dgreco","null"
"houston, texas","Population2005","1","0 (88.111.196.244)","null"
"houston, texas","Population2005","2076189","1363012: AstroPig7","null"
"houston, texas","Population2005","2231335","1767231: XxTrillvillexX9","null"
"houston, texas","Population2005","2076189","541143: Postoak","null"
"houston, texas","Population2006","2144491","107782: Arkyan","null"
"houston, texas","Population2006","5144491","0 (75.63.15.226)","null"
"houston, texas","Population2006","2144491","2803391: Evb-wiki","null"
"houston, texas","Population2006","21445491","0 (67.86.81.121)","null"
"honolulu, hawaii","Population2004","377260","702573: Seven Days","null"
"honolulu, hawaii","Population2004","399250","0 (141.154.64.129)","null"
"honolulu, hawaii","Population2004","371657","0 (24.14.180.65)","null"
"honolulu, hawaii","Population2006","377357","0 (70.176.187.166)","null"
"honolulu, hawaii","Population2006","377357","5512121: CapitalBot","null"
"hanover, new hampshire","Population2000","10850","16168: SatyrTN","null"
"hanover, new hampshire","Population2000","10850","5512121: CapitalBot","null"
"harwich, massachusetts","Population2000","12386","988917: CapitalR","null"
"harwich, massachusetts","Population2000","12386","5512121: CapitalBot","null"
"herat","Population2002","249000","2412566: NisarKand","null"
"herat","Population2006","349000","1214244: Ariana310","null"
"hamilton, ontario","Population2001","490268","930820: Alan.ca","null"
"hamilton, ontario","Population2006","504","2316661: The Canadian Roadgeek","null"
"iqaluit","Population2006","6184","73333: Trevor MacInnis","null"
"iqaluit","Population2006","6184","889409: Qyd","null"
"ithaca, new york","Population2000","29287","92247: Quinten","null"
"ithaca, new york","Population2000","29287","5478189: Detroiterbot","null"
"jackson, michigan","Population2000","36316","466067: Criticalthinker","null"
"jackson, michigan","Population2000","36316","5512121: CapitalBot","null"
"jerusalem","Population2006","724000","930820: Alan.ca","null"
"jackson, mississippi","Population2000","184256","620554: Harpchad","null"
"jackson, mississippi","Population2005","786256","0 (70.115.79.209)","null"
"jackson, mississippi","Population2000","184256","1290842: Tkynerd","null"
"jackson, mississippi","Population2000","584256","5240215: DRSAINT","null"
"jackson, mississippi","Population2000","184256","4414625: Oxymoron83","null"
"jackson, mississippi","Population2000","184256","2048686: Allstarecho","null"
"jalalabad","Population2002","96000","2791754: Pashtun","null"
"jalalabad","Population2006","168600","1214244: Ariana310","null"
"kraków","Population2004","757500","2570636: Hiuppo","null"
"kraków","Population2006","757500","0 (89.79.178.247)","null"
"kraków","Population2006","756267","4378549: Jotel","null"
"kabul","Population2005","2","2412566: NisarKand","null"
"kabul","Population2005","2994000","511164: Polaron","null"
"kuala lumpur","Population2004","1479388","5128: Earth","null"
"kuala lumpur","Population2004","18","3526734: Ejkhaw","null"
"kuala lumpur","Population2004","1800674","4435962: Urbankid92","null"
"kajang","Population2006","229655","317416: Bukhrin","null"
"kaohsiung","Population2006","1510577","627347: MJCdetroit","null"
"kaohsiung","Population2006","1514706","5314592: Daigaku2051","null"
"kaohsiung","Population2007","1519711","390304: Lzhhilly","null"
"karachi","Population2007","12315843","808676: Green Giant","null"
"karachi","Population2007","19315843","0 (203.81.239.14)","null"
"karachi","Population2007","12315843","294180: CambridgeBayWeather","null"
"karachi","Population2007","21315843","5856753: Paki90","null"
"kemerovo","Population2005","5226","2014405: Corky Butchek","null"
"kemerovo","Population2005","522600","0 (69.206.245.145)","null"
"kemerovo","Population2002","484754","48143: Ezhiki","null"
"kathmandu","Population2006","822930","1775584: Ygoloxelfer","null"
"kandahar","Population2002","316000","2412566: NisarKand","null"
"kandahar","Population2006","450300","1214244: Ariana310","null"
"kołobrzeg","Population2006","45313","2570636: Hiuppo","null"
"kansas city, missouri","Population2004","444387","140311: KHill-LTown","null"
"kansas city, missouri","Population2004","3","0 (12.215.129.86)","null"
"kansas city, missouri","Population2004","444387","145799: Computerjoe","null"
"kansas city, missouri","Population2006","444387","839822: KCMODevin","null"
"kansas city, missouri","Population2005","444965","463196: Hobbes747","null"
"kansas city, missouri","Population2005","554965","0 (69.242.143.75)","null"
"kansas city, missouri","Population2005","444965","2020595: Grey Wanderer","null"
"kansas city, missouri","Population2006","451717","0 (204.117.146.106)","null"
